City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
431,arbelaez,4.2725,-74.4151,21.37,88,100,1.27,CO,1681854904
432,santiago de cao,-7.9589,-79.2392,28.07,74,61,5.14,PE,1681854904
433,christchurch,-43.5333,172.6333,15.51,90,75,5.14,NZ,1681854722
434,qarauyl,48.9451,79.255,1.14,45,97,8.12,KZ,1681854905
435,muncar,-8.4333,114.3333,23.88,92,94,0.65,ID,1681854905
436,kenderes,47.25,20.6833,12.01,77,87,5.09,HU,1681854905
437,mukalla,14.5425,49.1242,26.95,73,1,2.38,YE,1681854906
438,east ballina,-28.8667,153.5833,17.67,63,100,4.08,AU,1681854906
439,luderitz,-26.6481,15.1594,19.67,50,0,1.03,NA,1681854906
440,meadow lakes,61.6247,-149.6011,2.94,54,0,3.09,US,1681854907
441,huarmey,-10.0681,-78.1522,26.02,75,74,5.16,PE,1681854907
442,labuan,5.2767,115.2417,26.2,94,20,0.0,MY,1681854907
443,hoeryong,42.4428,129.7508,7.07,41,25,1.49,KP,1681854907
444,kismayo,-0.3582,42.5454,27.47,80,78,5.13,SO,1681854908
445,northam,51.0333,-4.2167,10.9,69,73,6.62,GB,1681854908
446,vilhena,-12.7406,-60.1458,28.12,69,20,4.12,BR,1681854909
447,ballina,-28.8667,153.5667,17.66,64,100,3.77,AU,1681854909
448,ji'an,27.1172,114.9793,21.61,97,100,1.15,CN,1681854909
449,arenapolis,-14.4503,-56.8461,25.5,85,63,1.17,BR,1681854909
450,belley,45.8333,5.6667,11.24,91,86,1.67,FR,1681854779
451,bodo,67.28,14.405,8.02,77,100,6.17,NO,1681854910
452,tanjung pandan,-2.75,107.65,25.0,88,11,1.67,ID,1681854910
453,macas,-2.3167,-78.1167,25.86,69,40,3.6,EC,1681854911
454,luanda,-8.8368,13.2343,27.0,83,0,3.6,AO,1681854802
455,st. john's,47.5649,-52.7093,0.99,92,100,6.17,CA,1681854678
456,natal,-5.795,-35.2094,27.36,78,20,3.09,BR,1681854912
457,xinyuan,37.3,99.0,3.41,29,41,1.04,CN,1681854912
458,progreso,21.2833,-89.6667,32.28,59,0,7.78,MX,1681854912
459,redencao,-4.2258,-38.7306,23.9,96,62,0.88,BR,1681854914
460,antofagasta,-23.65,-70.4,18.6,80,45,4.39,CL,1681854914
461,sarina,-21.4333,149.2167,24.78,77,0,3.65,AU,1681854915
462,alice springs,-23.7,133.8833,7.75,93,90,0.0,AU,1681854915
463,sandy springs,33.9243,-84.3785,27.1,26,0,4.63,US,1681854673
464,itaituba,-4.2761,-55.9836,28.09,89,75,2.06,BR,1681854916
465,piacabucu,-10.4056,-36.4344,26.27,82,93,4.38,BR,1681854916
466,zouerate,22.7187,-12.4521,24.54,30,0,6.58,MR,1681854916
467,gongzhuling,43.5008,124.8198,9.1,26,95,4.44,CN,1681854917
468,alofi,-19.0595,-169.9187,23.94,23,100,1.54,NU,1681854917
469,mandiana,10.6333,-8.6833,32.6,20,61,0.73,GN,1681854917
470,shalqar,47.8333,59.6,6.22,58,5,3.39,KZ,1681854918
471,valparaiso,-33.0393,-71.6273,22.13,41,0,6.69,CL,1681854918
472,utrik,11.2278,169.8474,26.33,80,100,8.1,MH,1681854918
473,dighwara,25.7333,85.0,31.04,30,0,1.54,IN,1681854673
474,neiafu,-18.65,-173.9833,28.38,78,75,6.17,TO,1681854919
475,sarmanovo,55.2553,52.5891,11.38,64,100,2.31,RU,1681854919
476,macia,-25.0269,33.0989,17.55,92,0,2.28,MZ,1681854919
477,mumbwa,-14.9783,27.0619,17.76,77,36,3.22,ZM,1681854920
478,prince george,53.9166,-122.753,6.81,64,100,6.69,CA,1681854708
479,mata-utu,-13.2816,-176.1745,28.58,72,90,4.11,WF,1681854920
480,baruun-urt,46.6806,113.2792,12.05,24,100,3.81,MN,1681854920
481,benguela,-12.5763,13.4055,27.5,78,100,2.21,AO,1681854921
482,tolanaro,-25.0319,46.9987,23.04,94,20,3.09,MG,1681854921
483,zelenogorskiy,55.0333,87.0,-11.49,83,100,3.59,RU,1681854921
484,al lagowa,11.4,29.1333,31.27,9,86,3.32,SD,1681854921
485,ingeniero guillermo n. juarez,-23.9,-61.85,21.37,70,100,0.93,AR,1681854922
486,cestos city,5.46,-9.5828,26.6,85,52,2.41,LR,1681854922
487,mildura,-34.2,142.15,13.37,90,10,6.19,AU,1681854922
488,bridgewater,44.3835,-64.5155,14.26,71,51,9.26,CA,1681854754
489,murun-kuren,49.6342,100.1625,-6.79,35,0,4.94,MN,1681854923
490,puerto carreno,6.189,-67.4859,35.99,41,75,4.63,CO,1681854923
491,adigrat,14.277,39.462,16.85,64,85,1.29,ET,1681854924
492,paita,-5.0892,-81.1144,27.86,69,99,4.76,PE,1681854924
493,tariba,7.8188,-72.2243,25.31,86,65,0.89,VE,1681854924
494,sultanah,24.4926,39.5857,22.25,64,40,6.17,SA,1681854924
495,bac lieu,9.285,105.7244,27.52,81,80,2.55,VN,1681854924
496,cockburn town,21.4612,-71.1419,25.8,75,43,5.96,TC,1681854925
497,huron,41.1501,-82.5499,12.04,54,96,7.27,US,1681854925
498,polovinnoye,54.7914,65.9864,-1.55,61,8,2.6,RU,1681854925
499,sibut,5.718,19.0739,25.45,69,58,1.35,CF,1681854925
500,beneditinos,-5.45,-42.3667,24.11,92,95,2.01,BR,1681854926
501,biloela,-24.4167,150.5,20.19,68,0,4.24,AU,1681854926
502,wamba,8.9333,8.6,26.08,65,87,1.32,NG,1681854926
503,cold springs,39.6802,-119.9766,5.73,43,40,6.69,US,1681854629
504,terra santa,-2.1042,-56.4869,24.49,95,94,1.43,BR,1681854927
505,itacoatiara,-3.1431,-58.4442,24.83,94,84,1.34,BR,1681854927
506,kashiwazaki,37.3667,138.55,10.63,96,99,1.24,JP,1681854927
507,les avirons,-21.2418,55.3394,23.03,78,6,2.57,RE,1681854928
508,nadi,-17.8,177.4167,28.0,78,75,0.0,FJ,1681854928
509,corinto,37.9407,22.9573,13.83,79,2,3.46,GR,1681854928
510,zheleznogorsk,52.331,35.3711,7.35,70,100,3.5,RU,1681854928
511,wotho,10.1657,166.0102,26.65,80,99,7.45,MH,1681854929
512,najran,17.4924,44.1277,23.36,35,83,4.14,SA,1681854929
513,papao,-17.75,-149.55,29.82,75,25,7.76,PF,1681854930
514,ajaccio,42.0,8.9167,9.03,87,0,3.09,FR,1681854893
515,uray,60.1247,64.7758,-4.52,80,20,1.53,RU,1681854930
516,kirkwall,58.9848,-2.9587,7.2,93,31,3.6,GB,1681854931
517,la palma,33.8464,-118.0467,20.45,63,75,5.66,US,1681854931
518,santiago de surco,-12.15,-77.0167,25.71,69,0,6.17,PE,1681854916
519,morondava,-20.2833,44.2833,25.74,78,0,3.54,MG,1681854932
520,guarapari,-20.6667,-40.4975,28.27,79,35,2.15,BR,1681854932
521,hirara,24.8,125.2833,25.15,94,100,6.69,JP,1681854932
522,nuuk,64.1835,-51.7216,-2.66,86,100,5.14,GL,1681854933
523,bebedja,8.6761,16.566,31.6,34,62,2.31,TD,1681854933
524,daru,-9.0763,143.2092,24.21,93,100,4.02,PG,1681854933
525,oppdal,62.5943,9.6912,3.63,57,72,1.01,NO,1681854934
526,kone,-21.0595,164.8658,25.3,82,62,1.71,NC,1681854934
527,morehead city,34.7229,-76.726,25.03,51,0,6.71,US,1681854934
528,doraha,30.8167,76.0167,25.29,40,98,2.74,IN,1681854934
529,north platte,41.1239,-100.7654,24.51,31,0,8.75,US,1681854934
530,guatrache,-37.6678,-63.5302,16.56,36,100,7.65,AR,1681854935
